cancer_type,model,accuracy,mean_prob,n_samples,n_valid
Mesothelioma,gpt-5,27.121464226289515,0.623361064891847,601,601
Mesothelioma,gpt-4o,15.525876460767945,0.6812186978297162,601,599
Mesothelioma,o3-mini,31.94675540765391,0.8120798668885191,601,601
Mesothelioma,medgemma,0.16638935108153077,0.7866056572379367,601,601
Mesothelioma,qwen3,9.454545454545455,0.8994727272727272,601,550
Mesothelioma,qwen3-vl-235b-a22b,15.474209650582363,0.7272212978369385,601,601
Mesothelioma,deepseek,8.495575221238937,0.7761946902654866,601,565
Mesothelioma,deepseek-r1,29.45091514143095,0.6693011647254575,601,601
Mesothelioma,claude-sonnet-37,24.459234608985025,0.6648086522462562,601,601
Mesothelioma,claude-sonnet-45,25.62396006655574,0.6550335570469799,601,601
Mesothelioma,claude-opus-45,42.09650582362729,0.44971713810316144,601,601
Cervical Cancer,GDD-ENS,0.0,0.5380683673469387,588,588
Cervical Cancer,gpt-5,9.35374149659864,0.5899319727891157,588,588
Cervical Cancer,gpt-4o,2.405498281786942,0.7101546391752578,588,582
Cervical Cancer,o3-mini,1.530612244897959,0.8043877551020406,588,588
Cervical Cancer,medgemma,0.0,0.79421768707483,588,588
Cervical Cancer,qwen3,0.1893939393939394,0.8932007575757575,588,528
Cervical Cancer,qwen3-vl-235b-a22b,0.3401360544217687,0.7236439522998296,588,588
Cervical Cancer,deepseek,0.0,0.8204379562043795,588,548
Cervical Cancer,deepseek-r1,2.380952380952381,0.6634071550255538,588,588
Cervical Cancer,claude-sonnet-37,1.0204081632653061,0.6771720613287905,588,588
Cervical Cancer,claude-sonnet-45,0.0,0.6713481228668942,588,588
Cervical Cancer,claude-opus-45,0.8503401360544218,0.4466269165247019,588,588
Salivary Gland Cancer,GDD-ENS,11.433447098976108,0.509985494880546,586,586
Salivary Gland Cancer,gpt-5,1.5358361774744027,0.5472013651877133,586,586
Salivary Gland Cancer,gpt-4o,0.5136986301369862,0.6499486301369863,586,584
Salivary Gland Cancer,o3-mini,0.8532423208191127,0.7747098976109215,586,586
Salivary Gland Cancer,medgemma,0.0,0.781655290102389,586,586
Salivary Gland Cancer,qwen3,0.5681818181818182,0.8838636363636363,586,528
Salivary Gland Cancer,qwen3-vl-235b-a22b,0.6825938566552902,0.6585665529010238,586,586
Salivary Gland Cancer,deepseek,0.0,0.7275045537340619,586,549
Salivary Gland Cancer,deepseek-r1,1.023890784982935,0.639641638225256,586,586
Salivary Gland Cancer,claude-sonnet-37,1.7064846416382253,0.5973378839590443,586,586
Salivary Gland Cancer,claude-sonnet-45,0.5119453924914675,0.5859176672384219,586,586
Salivary Gland Cancer,claude-opus-45,0.6825938566552902,0.4011945392491468,586,586
Small Cell Lung Cancer,GDD-ENS,20.29520295202952,0.5950180811808118,542,542
Small Cell Lung Cancer,gpt-5,19.00369003690037,0.617380073800738,542,542
Small Cell Lung Cancer,gpt-4o,0.5555555555555556,0.6728888888888889,542,540
Small Cell Lung Cancer,o3-mini,14.391143911439114,0.8105535055350553,542,542
Small Cell Lung Cancer,medgemma,0.18450184501845018,0.7578413284132841,542,542
Small Cell Lung Cancer,qwen3,11.875,0.8983541666666665,542,480
Small Cell Lung Cancer,qwen3-vl-235b-a22b,3.3210332103321036,0.7135055350553506,542,542
Small Cell Lung Cancer,deepseek,0.0,0.7779807692307692,542,520
Small Cell Lung Cancer,deepseek-r1,18.634686346863468,0.6743542435424354,542,542
Small Cell Lung Cancer,claude-sonnet-37,5.166051660516605,0.6503690036900369,542,542
Small Cell Lung Cancer,claude-sonnet-45,11.254612546125461,0.6611645101663586,542,542
Small Cell Lung Cancer,claude-opus-45,14.760147601476014,0.43709796672828094,542,542
Gastrointestinal Neuroendocrine Tumor,GDD-ENS,14.258555133079847,0.4859673003802282,526,526
Gastrointestinal Neuroendocrine Tumor,gpt-5,4.752851711026616,0.6138403041825095,526,526
Gastrointestinal Neuroendocrine Tumor,gpt-4o,0.5725190839694656,0.6950954198473283,526,524
Gastrointestinal Neuroendocrine Tumor,o3-mini,2.091254752851711,0.7941634980988592,526,526
Gastrointestinal Neuroendocrine Tumor,medgemma,0.5703422053231939,0.8037072243346006,526,526
